No.,Object Name,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra,ROW_IDX,ROW_NUM
1,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 0300</a>",13.722702,-37.684212,G,147,0.000491,SUN,916,14,105,58,27,18,74,94,60,3,0,0
2,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">IC 1613</a>",16.199167,2.117722,G,-234,-0.000781,SUN,770,14,52,39,16,7,106,82,58,4,1,1
3,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 352- G 057</a>",20.509977,-34.196751,G,5685,0.018963,SUN,117,2,36,13,10,18,29,26,8,1,2,2
4,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">IC 0126</a>",22.449443,-1.983748,G,5896,0.019667,SLS,72,0,39,17,12,5,16,14,2,1,3,3
5,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 0708</a>",28.193528,36.151828,G,4762,0.015886,SLS,287,10,123,49,42,9,19,18,5,0,4,4
6,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 0925</a>",36.820159,33.579124,G,553,0.001845,S1L,754,15,168,79,41,8,55,87,116,16,5,5
7,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">IC 1844</a>",41.455543,3.230991,G,6805,0.022699,S1L,82,0,38,18,17,3,31,27,2,4,6,6
8,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 300- G 009</a>",46.315861,-39.561298,G,6045,0.020164,SUN,112,1,19,9,7,15,34,26,4,1,7,7
9,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 1365</a>",53.401697,-36.140186,G,1636,0.005457,UUN,1334,35,408,129,149,25,66,91,77,24,8,8
10,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 1425</a>",55.547908,-29.893417,G,1512,0.005043,S1L,208,5,79,25,26,19,46,76,27,8,9,9
