Galaxy,μV(mag),σV,μI(mag),σI,E_V-I(mag),σE_V-I(mag),μ0(mag),σ0,D0(Mpc),μZ(mag),DZ(Mpc),Z(dex),σZ(dex)
NGC_224,25.01,0.07,24.76,0.05,0.26,0.04,24.38,0.05,0.75,24.48,0.79,8.98,0.15
NGC_300,.,26.60,0.05,26.57,0.04,0.04,0.03,26.53,0.07,2.02,26.50,2.00,8.35,0.15
NGC_598,25.21,0.11,24.94,0.08,0.27,0.05,24.56,0.10,0.82,24.62,0.84,8.82,0.15
NGC_925,30.33,0.04,30.12,0.03,0.21,0.02,29.80,0.04,9.12,29.81,9.16,8.55,0.15
NGC_1326A,31.41,0.07,31.26,0.07,0.15,0.04,31.04,0.10,16.14,31.04,16.14,8.50,0.15
NGC_1365,31.69,0.05,31.49,0.04,0.20,0.02,31.18,0.05,17.22,31.27,17.95,8.96,0.20
NGC_1425,32.01,0.07,31.85,0.05,0.16,0.03,31.60,0.05,20.89,31.70,21.88,9.00,0.15
NGC_2090,30.71,0.05,30.54,0.04,0.17,0.02,30.29,0.04,11.43,30.35,11.75,8.80,0.15
NGC_2403,27.75,0.10,0.2c,0.1,27.48,0.10,3.13,27.54,3.22,8.80,0.10
NGC_2541,30.74,0.05,30.54,0.04,0.20,0.02,30.25,0.05,11.22,30.25,11.22,8.50,0.15
NGC_3031,28.22,0.09,28.03,0.07,0.19,0.05,27.75,0.08,3.55,27.80,3.63,8.75,0.15
NGC_3198,31.04,0.05,30.89,0.04,0.15,0.04,30.68,0.08,13.68,30.70,13.80,8.60,0.15
NGC_3319,30.95,0.06,30.82,0.05,0.13,0.04,30.64,0.09,13.43,30.62,13.30,8.38,0.15
NGC_3351,30.43,0.06,30.19,0.05,0.24,0.04,29.85,0.09,9.33,30.00,10.00,9.24,0.20
NGC_3368,30.44,0.11,30.25,0.08,0.20,0.04,29.97,0.06,9.86,30.11,10.52,9.20,0.20
NGC_3621,29.97,0.07,29.61,0.05,0.36,0.04,29.08,0.06,6.55,29.11,6.64,8.75,0.15
NGC_3627,30.44,0.09,30.20,0.07,0.24,0.03,29.86,0.08,9.38,30.01,10.05,9.25,0.15
NGC_4258,29.99,0.08,29.77,0.05,0.22,0.04,29.44,0.07,7.73,29.51,7.98,8.85,0.15
NGC_4321,31.31,0.06,31.09,0.05,0.22,0.03,30.78,0.07,14.32,30.91,15.21,9.13,0.20
NGC_4414,31.48,0.14,31.33,0.10,0.15,0.04,31.10,0.05,16.60,31.24,17.70,9.20,0.15
NGC_4496A,31.14,0.03,31.00,0.03,0.14,0.01,30.81,0.03,14.52,30.86,14.86,8.77,0.15
NGC_4535,31.32,0.04,31.13,0.04,0.19,0.02,30.85,0.05,14.79,30.99,15.78,9.20,0.15
NGC_4536,31.24,0.04,31.06,0.04,0.18,0.02,30.80,0.04,14.45,30.87,14.93,8.85,0.15
NGC_4548,31.30,0.07,31.12,0.04,0.18,0.04,30.88,0.05,15.00,31.05,16.22,9.34,0.15
NGC_4639,31.96,0.09,31.84,0.07,0.12,0.04,31.61,0.08,20.99,31.71,21.98,9.00,0.15
NGC_4725,31.08,0.08,30.79,0.07,0.29,0.03,30.38,0.06,11.91,30.46,12.36,8.92,0.15
NGC_5253,28.01,0.17,27.83,0.12,0.19,0.08,27.56,0.14,3.25,27.49,3.15,8.15,0.15
NGC_5457d,29.46,0.07,29.33,0.05,0.13,0.06,29.13,0.11,6.70,29.13,6.70,8.50,0.15
NGC_7331,31.42,0.09,31.17,0.06,0.25,0.05,30.81,0.09,14.52,30.84,14.72,8.67,0.15
IC_4182,28.37,0.07,28.33,0.06,0.04,0.03,28.28,0.06,4.53,28.26,4.49,8.40,0.20
IC_1613,24.44,0.09,24.34,0.10,0.10,0.05,24.19,0.15,0.69,24.06,0.65,7.86,0.50
