Galaxy,Vhelio,VLG,VVirgo,VCMB,VGA,VShapley,VTonry
NGC_0300,144,125,114,-57,92,133,-140
NGC_0925,553,781,778,398,561,664,374
NGC_1326A,1836,1749,1698,1787,1742,1794,1164
NGC_1365,1636,1544,1503,1597,1544,1594,1157
NGC_1425,1512,1440,1403,1477,1417,1473,1465
NGC_2403,131,300,343,216,222,278,193
NGC_2541,559,646,744,736,674,714,936
NGC_2090,931,757,805,1057,869,882,926
NGC_3031,-34,127,139,65,43,80,246
NGC_3198,662,704,768,890,765,772,848
NGC_3351,778,641,594,1117,696,642,1175
NGC_3368,897,761,715,1236,823,768,1238
NGC_3621,805,615,557,1152,687,609,1020
NGC_4321,1571,1469,1350,1856,1501,1433,1436
NGC_4414,716,693,586,959,661,619,1215
NGC_4496A,1730,1575,1350,2024,1518,1424,1467
NGC_4548,486,381,1350,763,1460,1384,1421
NGC_4535,1961,1826,1350,2248,1530,1444,1410
NGC_4536,1804,1642,1350,2097,1521,1423,1463
NGC_4639,1010,902,1350,1283,1481,1403,1448
NGC_4725,1206,1161,1040,1446,1156,1103,1225
IC_4182,321,344,312,513,355,318,636
NGC_5253,404,156,160,612,349,232,800
NGC_7331,816,1110,1099,508,912,999,820
